,LDPC_code,Prob_block_error,SNRbDB,SNRcDB,average_probaility_error,count_time,message_sending_time,noise_set,xlen,ylen
0,MacKeyCodeTest,0.618,0.9151,-2.0952,0.07604,67.82,1000.0,0.9,96,48
0,MacKeyCodeTest,0.223,1.9382,-1.0721,0.02565,34.37,1000.0,0.8,96,48
0,MacKeyCodeTest,0.1031,2.4988,-0.5115,0.011890000000000001,17.71,1000.0,0.75,96,48
0,MacKeyCodeTest,0.031,3.0980000000000003,0.0877,0.004083,11.09,1000.0,0.7,96,48
0,MacKeyCodeTest,0.003,3.7417,0.7314,0.0012699999999999999,7.4,1000.0,0.65,96,48
0,MacKeyCodeTest,5.9999999999999995e-05,6.0206,3.0103,5e-05,143.29,100000.0,0.5,96,48
0,MacKeyCodeTest2,0.907,0.0,-3.0103,0.12690875,907.44,100000.0,1.0,96,48
0,MacKeyCodeTest2,0.2968,1.9382,-1.0721,0.0303,61.69,10000.0,0.8,96,48
0,MacKeyCodeTest2,0.1404,2.4988,-0.5115,0.01341,48.93,10000.0,0.75,96,48
0,MacKeyCodeTest2,0.0032,4.437,1.4267,0.00031875,25.52,10000.0,0.6,96,48
0,MacKeyCodeTest2,0.904,0.0,-3.0103,0.1266,18.38,1000.0,1.0,96,48
0,MacKeyCodeTest2,0.2959,1.9382,-1.0721,0.029910000000000006,71.57,10000.0,0.8,96,48
0,MacKeyCodeTest2,0.02925,3.0980000000000003,0.0877,0.0032,698.63,100000.0,0.7,96,48
0,MacKeyCodeTest2,0.0007,4.437,1.4267,0.0002,3451.71,1000000.0,0.6,96,48
0,MacKeyCodeTest2,0.00010299999999996424,5.1927,2.1824,6.975e-05,2766.34,1000000.0,0.55,96,48
0,MacKeyCodeTest2,2e-05,6.0206,3.0103,1.6e-05,150.95,100000.0,0.5,96,48
0,MacKeyCodeTest2,0.13512000000000002,6.1961,3.1858,1.2e-05,1665.49,1000000.0,0.49,96,48
0,MacKeyCodeTest2,0.16425100000000006,6.3752,3.3649,1.8e-05,1586.44,1000000.0,0.48,96,48
0,MacKeyCodeTest2,3e-06,6.9357,3.9254,3.2e-06,12243.08,6000000.0,0.45,96,48
0,MacKeyCodeTest2,1e-06,7.3306,4.3203,1e-06,1134.05,1000000.0,0.43,96,48
0,MacKeyCodeTest2,1e-06,7.535,4.5247,9e-07,1802.15,3000000.0,0.42,96,48
0,MacKeyCodeTest2,1e-07,7.9588,4.9485,1e-07,7929.27,10000000.0,0.4,96,48
0,third_LDPC_code_56_28,0.7148,0.0,-3.0103,0.09737142857142857,537.78,10000.0,1.0,96,48
0,third_LDPC_code_56_28,0.2318,1.9382,-1.0721,0.025160714285714286,175.85,10000.0,0.8,96,48
0,third_LDPC_code_56_28,0.0632,3.0980000000000003,0.0877,0.006303571428571428,60.02,10000.0,0.7,96,48
0,third_LDPC_code_56_28,0.00759,4.437,1.4267,0.0006857142857142857,181.63,100000.0,0.6,96,48
0.0,MacKeyCodeTest,0.618,0.9151,-2.0952,0.07604,67.82,1000.0,0.9,96,48
0.0,MacKeyCode_408.3.854,0.0001100000000000545,5.1927,2.1824,4.458333333333333e-05,233.18,100000.0,0.55,204,408
0.0,MacKeyCode_408.3.854,3.2999999999949736e-05,6.0206,3.0103,1.4895833333333334e-05,1945.39,1000000.0,0.5,204,408
0.0,MacKeyCode_408.3.854,2.100000000004876e-05,6.1961,3.1858,1.0333333333333333e-05,1919.32,1000000.0,0.49,204,408
0.0,MacKeyCode_408.3.854,1.399999999995849e-05,6.3752,3.3649,6.8125e-06,1846.56,1000000.0,0.48,204,408
0.0,MacKeyCode_408.3.854_clip0.01,1.0,0.0,-3.0103,0.1576875,17.66,1000.0,1.0,204,408
0.0,MacKeyCode_408.3.854_clip0.01,0.992,1.9382,-1.0721,0.10616666666666667,18.13,1000.0,0.8,204,408
0.0,MacKeyCode_408.3.854_clip0.01,0.9490000000000001,3.7417,0.7314,0.05954166666666666,17.71,1000.0,0.65,204,408
0.0,MacKeyCode_408.3.854_clip0.01,0.6759999999999999,6.0206,3.0103,0.023229166666666662,16.02,1000.0,0.5,204,408
0.0,MacKeyCode_408.3.854_clip0.1,1.0,0.0,-3.0103,0.15941666666666668,19.61,1000.0,1.0,204,408
0.0,MacKeyCode_408.3.854_clip0.1,0.998,1.9382,-1.0721,0.1046875,18.63,1000.0,0.8,204,408
0.0,MacKeyCode_408.3.854_clip0.1,0.6629999999999999,6.0206,3.0103,0.02270833333333333,16.16,1000.0,0.5,204,408
0.0,MacKeyCode_408.3.854_clip25,0.899,0.0,-3.0103,0.13022916666666667,16.93,1000.0,1.0,204,408
0.0,MacKeyCode_408.3.854_clip25,0.2905,1.9382,-1.0721,0.02964166666666667,101.95,10000.0,0.8,204,408
0.0,MacKeyCode_408.3.854_clip25,0.0029400000000000537,4.437,1.4267,0.00024979166666666666,298.29,100000.0,0.6,204,408
0.0,MacKeyCode_408.3.854_clip25,3.2000000000032e-05,6.0206,3.0103,9.333333333333333e-06,1935.75,1000000.0,0.5,204,408
